num_voters,num_questions,num_choices,tally_time,decrypt_time
100,1,9,0.042,0.136
100,1,9,0.042,0.134
100,1,9,0.042,0.133
100,1,9,0.040,0.132
100,1,9,0.040,0.134
100,1,9,0.042,0.137
100,1,9,0.044,0.137
100,1,10,0.047,0.142
100,1,10,0.047,0.148
100,1,10,0.046,0.148
100,1,10,0.048,0.147
100,1,10,0.047,0.147
100,2,1,0.016,0.034
100,2,1,0.016,0.034
100,2,1,0.016,0.034
100,2,1,0.017,0.034
100,2,1,0.017,0.034
100,2,2,0.024,0.061
100,2,2,0.022,0.062
100,2,2,0.023,0.062
100,2,2,0.023,0.064
100,2,2,0.023,0.062
100,2,3,0.029,0.090
100,2,3,0.029,0.090
100,2,3,0.029,0.091
100,2,3,0.029,0.090
100,2,3,0.030,0.089
100,2,4,0.035,0.117
100,2,4,0.035,0.118
100,2,4,0.036,0.122
100,2,4,0.035,0.119
100,2,4,0.035,0.121
100,2,5,0.041,0.148
100,2,5,0.041,0.149
100,2,5,0.044,0.148
100,2,5,0.042,0.146
100,2,5,0.043,0.146
100,2,6,0.049,0.176
100,2,6,0.051,0.174
100,2,6,0.053,0.174
100,2,6,0.049,0.175
100,2,6,0.049,0.175
100,2,7,0.057,0.202
100,2,7,0.056,0.202
100,2,7,0.056,0.199
100,2,7,0.057,0.201
100,2,7,0.056,0.199
100,2,9,0.069,0.260
100,2,9,0.073,0.269
100,2,9,0.070,0.251
100,2,9,0.072,0.257
100,2,9,0.071,0.265
100,2,9,0.076,0.248
100,2,9,0.073,0.250
100,2,9,0.072,0.261
100,2,9,0.070,0.266
100,2,9,0.071,0.261
100,2,10,0.081,0.294
100,2,10,0.080,0.282
100,2,10,0.080,0.281
100,2,10,0.082,0.286
100,2,10,0.080,0.275
100,3,1,0.020,0.051
100,3,1,0.019,0.047
100,3,1,0.020,0.048
100,3,1,0.020,0.046
100,3,1,0.020,0.049
100,3,2,0.030,0.090
100,3,2,0.029,0.089
100,3,2,0.030,0.090
100,3,2,0.029,0.091
100,3,2,0.028,0.091
100,3,3,0.038,0.133
100,3,3,0.039,0.134
100,3,3,0.038,0.133
100,3,3,0.039,0.133
100,3,3,0.039,0.134
100,3,4,0.049,0.174
